sent0,sent1
"Healy ""Oldukça hevesli bir şekilde hissettiğim şey, biraz da Thanasi'nin tartışmaya çekildiğini düşünmemdir"" şeklinde konuştu.","""I think Thanasi has been dragged in a little bit,"" Healy said, something he feels strongly about."
"""Era apropiado hacerlo cuando estuviera el menor número de personas en el parque"", dijo.",The man said that it was best to do when there weren't many people in the park.
«¡Deja que Tom también conduzca!» «¿En mi coche? ¡De ninguna manera!»,"""Let Tom drive as well."" ""In your car? Absolutely not!"""
میں یہ یاد کرتی ہوں کہ وہ میرے کتبے پر کیا لکھیں گے؟,I remember thinking about what would be put on my tombstone.
"Ijapokuwa nitakaa nyumbani peke yangu, sitakwenda mahali popote siku ya leo.",I'm not going anywhere today.
"Bordini şikayetinde ""Silahların hasar vermesi için ateşlenmesine gerek yok"" dedi.",Someone said that guns didn't have to be fired to cause damage.
"Mbinu ya pili, kisehemu cha chanjo, kinakusudia kuunda chanjo ambayo inafanya mfumo wa kinga kuhisi visehemu fulani vya virusi.","The second approach, subunit vaccines, attempts to make a vaccine that trains the immune system to recognize certain parts of the virus."
Бъди обичан.,Love is given to them.
Kwa heri ya kuonana!,Talk to you later!
"Matatizo yanayohusiana na COVID-19 yanajumuisha ugonjwa wa bakteria, damu kuganda isivyo kawaida, uharibifu wa moyo, figo na ini.",Sepsis is one of the complications that can arise from a COVID-19 infection.
Πίστευε στον εαυτό σου.,Trust yourself.
"«Пивные банки, банки из-под газировки, консервные банки из прошлого».",There are cans for beer and soda.
"Ili hii ifanye kazi kwa ufanisi, ufuatiliaji na tathmini ni muhimu.",Monitoring and evaluation are needed for this to work well.
"""ผมเห็น Kante กำลังมา จึงแตะไปหนึ่งครั้ง และไม่ได้คิดอะไรมาก แค่ยิงไป""",I took the shot after taking one touch on the ball.
"""Заявление о 'Братском круге' больше походит на попытку объединить разрозненные криминальные группировки"", - ранее заявил эксперт по организованной преступности и профессор Университета Нью-Йорка Марк Галеотти.",Mark Galeotti is an expert on organized crime.
"""Para que no se inventen ninguna tontería acerca de los representantes como en la última Asamblea General"", dice el propietario de Victoria Plzen, que se postula por primera vez como candidato y que dirige sus observaciones principalmente en contra de Pelta.",The owner of Viktorie Plzeň was against Pelta.
«Как тебе спалось прошлой ночью?» – «Не очень хорошо».,"""Did you sleep well last night?"" ""No."""
चमचम चमकने व ज्यादा दिन तक टिके रहने के लिए सोडियम हाइड्रोसल्फाइट नामक रसायन का इस्तेमाल किया गया था।,The chum chum is made shiny and more lasting by a chemical called sodium hydro-sulphate.
"""Ce sont des secrets très secrets, ma mère peut les connaître mais pas tout le monde"", affirme-t-il.",He said that the secrets are very classified and that he will only tell his mother.
อาการบาดเจ็บที่เข่าทำให้กองกลาง เกรอัม ดอร์แรนส์ ไม่สามารถปรากฏตัวครั้งแรกในฤดูกาลจนกระทั่งเสมอ 2-2 กับบิยาร์เรอัล แต่เขาเชื่อว่า Rangers สามารถใช้ผลการแข่งขันครั้งนั้นเป็นแป้นกระโดดไปยังสิ่งที่ยิ่งใหญ่กว่า,Graham Dorrans made his first appearance of the season in the 2-2 draw with Villarreal.
"Μπορώ να έχω μια σόδα, παρακαλώ;","Will you give me some soda, please?"
"""Si les Banques centrales ont choisi cette démarche, c'est qu'elles doivent appréhender réellement ce qui peut encore s'ensuivre"", dit l'économiste en chef de l'ABN Amro Kieran Davies.",Kieran Davies said the central banks must be fearful of what's next.
میں نے خریدنے کے لئیے حامی بھری۔,I said yes to buying it.
"""Personalmente, pienso que tienen una apariencia normal"", dijo el Sr. Tang, desdeñosamente.",Mr. Tang thinks they are average looking.
"""Una ciudad sin salas cinematográficas en una ciudad ciega, es como una cara sin ojos"".",Cinematographic theatres represent the eyes of the city.
"""Если человек ограничивает себя по животным продуктам, соответственно, этой калорийности он недобирает"", - говорит специалист.",The specialist says that people who restrict animal products will fall short of the caloric content.
"O, yeni vizyona girecek olan belgesel Back in Time'ın fragmanında bunu şöyle anlatıyor: ""Sinema salonunda oturmuş Kraliyet Ailesi üyelerinin gelmesini bekliyorduk ve birden yanımdaki koltuğun boş olduğunu fark ettim ve yanıma Prenses Diana'nın oturacağını anladım.",He said that Princess Diana sat next to him in the theater.
میں اُس ( لڑکی ) کو نہیں جانتا ۔,I do not have any idea who she is.
चादवीर ने कार्यकर्ताओं की भी ड्यूटियां निर्धारित की हैं।,The duties of the activists were determined by Chadvir.
"उन्होंने कहा, ""कुछ लोग प्राण-संकट जैसी स्थिति में होते हैं जिसके लिए शल्य-चिकित्सा की आवश्यकता होती है, लेकिन अधिकांश बच्चों के साथ ऐसा नहीं होता।""",He said that some people need surgery but most kids don't.
你对她是不是一见钟情？,Did you know you loved her the first time you saw her?
"Я понимаю, что это нарушает планы людей, которые оказались в этой ситуации, тех, кто находится в Испании или планировали туда поехать, но мы должны предпринять быстрые, решительные меры для зашиты Соединенного Королевства.",He said it is disruptive for those in Spain.
"“Оба тренировались вчера, Садио и Див [Дивок Ориги], совершенно нормально, без проблем”, - сказал менеджер Ливерпуля.",Sadio and Divock Origi trained normally without any issues.
Βάλε κάτι στο στόμα σου.,Please consume something to eat.
(Sırbistan) bu süreçten zarar görmek değil çözümün bir parçası olmak istiyor.,"Serbia wants to be part of the solution, and not be collateral damage."
"""Se puede ver que los niños, incluso desde muy temprana edad, comprenden el mensaje que la empresa tabacalera está intentando vender a través de su marca"", afirmó la ministra de Sanidad federal, Tanya Plibersek, citando estudios que mostraban, por ejemplo, cómo las niñas relacionaban el logo de una corona con la idea de ser una princesa.",Kids can understand the message that a tobacco company is trying to sell them.
"चार्ली ब्राउन ने महान कद्दू को पेश किया जब हम बच्चे, थे और एक जैक-ओ-लालटेन नक्काशी एक क्रिसमस ट्री सजाने की तरह है - यह कुछ है जो हमने किया है जब से हम छोटे से थे।",The Great Pumpkin is a character made popular by Charlie Brown.
وہ ایک کسان بننا چاھتا تھا۔,He desired to be a farmer.
Ан има много приятели.,Ann is friends with many people.
Пътуването ще струва най-много 1000 долара.,The trip can cost up to $1000.
“แต่คุณจะวางใจให้ลูกของคุณอยู่ในมือของใครบางคนที่คุณหยาบคายใส่มั้ยล่ะ แม้ว่ามันจะเป็นความผิดพลาดก็ตาม?,Would you let a rude person look after your kids?
Utafiti uliofanywa 2013 ulionyesha kuwa kuboresha matendo ya kuosha mikono kunaweza kusababisha kuboreka kwa viwango vidogo katika kimo cha watoto chini ya umri wa miaka mitano.,Improved hand washing may cause children to grow more.
Помоли приятелите ми.,"If you want to know, ask my friends."
"Ghebreyesus alitoa maoni sawa na hayo, akisema ""hatujawahi kuona janga kubwa lililosababishwa na virusi vya korona hapo awali.""",Ghebreyesus said that this is the first pandemic caused by a coronavirus.
هل افتقدتني؟,I was missed.
"""Nous enveloppions la boule de différentes choses une demi-douzaine de fois et vous hurliez dans le téléphone public et ça vous arrivait une minute plus tard au téléphone public d'à côté, "" explique Jobs en riant.",Steve Jobs explains the process of wrapping things around the globe several times.
क्या तुम सुरक्षित हो?,The speaker is concerned about the other person's safety.
"""Bu tabiri kullanmayı sevmiyorum ama Radyo 3 ""bayağılaştı"", gitgide Classic FM'e dönüşüyor"" dedi.","He does not like to use the phrase ""dumbing down"" when referring to the radio."
就算下雨，比赛也将照常进行。,The game will still be played even in wet weather.
"Bir Primark sözcüsü şunları söyledi: 'Primark, 9 Ağustos Salı günü Folkestone'daki mağazamızda gerçekleşen olaydan haberdardır.'",Primark was informed of an event that took place at their Kent based branch on August 9th.
Можеш ли да прочетеш този йероглиф?,Do you know what this kanji says?
"""En 2009, gané la medalla de bronce en Toronto"".",The bronze medal was mine in 2009 in Toronto.
عمل سے زندگی بنتی هے جنت بھی جهنم بھی,Always have good intentions.
هل تستطيع أن تريني غرفة أخرى؟,Will you show another room to me?
"""¿Te gustan las serpientes?"" ""Claro que no.""","""Do you like snakes?"" ""Absolutely not."""
"""Pero si realmente te paras y tomas un momento para mirar a su historia, es una ciudad muy agradable.""",That city is very nice.
"""La fonctionnalité Activité va m'aider à mieux suivre certains éléments de mon flux Twitter"", a envoyé @dannykronstrom.",Dannykronstrom said that the functionality activity will help him monitor certain elements of his Twitter flow better.
एसटीएफ के खुलासे के बाद चिकित्सा शिक्षा विभाग ने इन छात्रों के प्रवेश निरस्त करने के लिए मंथन शुरू कर दिया है।,The medical examination department has started considering cancelling the admissions of these students.
汤姆很小的时候父母就都去世了。,Tom's mom and dad died when he was young.
"हिर्श कहती हैं, ""इनमें से अधिकांश हेडलाइनर्स कैरोलाइन्स में दिखीं, तथा बहुत बड़ी सफलता बन गईं, ऐसे स्तर तक जहां पर वे क्लब में प्ले किए जाने के लिए बहुत बड़ी बन गईं।""",Hirsch was saying that some of the headliners have gotten too big to play clubs.
"""Avec le cas Adoboli, on a pu constater que la maîtrise des risques à trop peu changé"", dit Martin Janssen, économiste et professeur des finances à l'Institut bancaire de l'Université de Zurich.",The Adoboli incident was a wake up call that risk control wasn't changing fast enough.
هل بمكانك أن تصوّرني مع أصدقائي؟,I was wondering if you could take a photo of us.
"""ผมได้ยินภรรยาของผมร้องขอความช่วยเหลือ แต่จากนั้นก็เงียบไป",I heard my wife crying.
«¿Has visto mi cámara de fotos?» «Seguramente la habrás dejado en el coche.»,It's likely in the car.
"""Доктор, меня все игнорируют."" ""Следующий!""","""The doctor had many people ignoring him, and told the next person to come up."""
لي صديق يدرس في الخارج.,One of my friends is currently in another country to study.
Bough ปัจจุบันเป็นชายหนุ่มที่แต่งงานแล้ว ซึ่งมีบทบาทเป็นผู้บัญชาการเรือดำน้ำมาก่อน และมีบุคลิกที่สนุกสนาน ซึ่งไม่ค่อยเหมาะที่ให้ Vicki Pepperdine มารับบทนี้,Vicki Pepperdine is married to a submarine commander.
"""La crise n'est pas quelque chose de nouveau pour l'entité et pour le travail que celle-ci réalise"", déclara-t-il.",He said that the crisis isn't new.
"Mlipuko wa saitokini ni namna ya makabiliano ya kimfumo ya kuchomeka ambao unaohusisha kutolewa kwa misururu ya saitokini ikiwa ni pamoja na TNFα, IL-1β, IL-2, IL-6, IFNα, IFNβ, IFNγ na MCP-1.",Cytokine storm is a systemic inflammatory response.
""" Les études sociales sont censées aborder l'aspect social - et le social, ce n'est pas devant un ordinateur.""",There is still a large amount of social interaction happening offline.
"""Birkaç bin mülteciyle ilgilenmek harika, ama aynı zamanda uzun vadeli çözümler de düşünmek zorundasınız; bu Müslüman ülkelere, temelde eğitim yoluyla kalıcı barış ve kalıcı gelişimi nasıl getirebileceğinizi düşünmelisiniz"" diye vurguladı.",Thousands of refugees are being cared for.
سیاہ اور سفید ٹیلی ویژن سیٹ اب پرانے ہو گئے ہیں۔,Color television is the latest technology.
"Да не мислиш, че съм дошъл тук, само за да си изгубя времето?",Did you believe that I came here to just kill time?
กัปตัน Halkett เป็นหัวหน้าทีมป้องกัน และควบคุมเกมได้อย่างดีเยี่ยม ในขณะที่ Menga ยังคง Connor Goldson และ Joe Worrall เป็นดาวบุก,The captain was impressive with his defensive marshalling.
Bombardier को उम्मीद है विमान परिवार अब बोइंग और एयरबस के वर्चस्व वाले बाजार के कम अंत में इसे कटपुलट कर सकते हैं.,Bombardier wants to compete with the Boeing and Airbus corporations.
"Kάλλιο πέντε και στο χέρι, παρά δέκα και καρτέρει.",It is better to keep what you have then risk losing it trying to get more.
คุณบ้าหรือ?,It would seem that you have lost your mind.
"एक फोन कॉल्स में पेश प्रतिलेख ICAC मे अगस्त और सितम्बर 2007 मे श्री ओबाइड और श्री त्रिपोडी और स्टीव डन, एक वरिष्ठ आधिकारिक जो बंदरगाहों मंत्रालय काम करने के बाद श्री ओबाइड के मत्स्य विभाग में आए थे",The phone transcript showed calls were made.
เนื่องจากโครงสร้างและสิ่งอำนวยความสะดวกที่สโมสรแห่งนี้ ไม่ต้องสงสัยเลยว่าเป็นของพรีเมียร์ลีกอย่างแน่นอน” เขากล่าว,The club should be in the Premier League due to its structure and facilities.
"Visa vya kutosha vya mchochota wa pafu visivyojulikana vilikuwa vimeripotiwa kwa mamlaka za afya Wuhan kusababisha uchunguzi mwanzo wa Januari.Katika hatua za mwanzo wa mlipuko, nambari za visa viliongezeka maradufu takriban kila siku saba na nusu.",There were enough reports of unknown pneumonia to cause an investigation.
Δεν έχεις σχολείο σήμερα;,You're supposed to go to school today.
حضر اللقاء عدد من أصحاب الإختصاص.,There were experts at the meeting.
"Colin, ""Sorunumuz yakın gelecekte mahkemeler tarafından çözülecek."" diye yazdı.",Colin said that the courts would resolve their matter soon.
Anh ta chơi được đàn piano.,He knows how to play the piano.
"""Bu AB'nin güvenilirliği ile ilgili bir konu, bu nedenle de önemli"" dedi.",He said the EU's credibility is at stake.
एंडरसन और जेम्स नीशाम ने मिलकर आठ विकेट चटकाए।,The pair took eight wickets.
Είστε σίγουρη ότι πατήσατε το τελευταίο κουμπί;,Is it possible that you didn't push the last button?
مجھے کافی پسند ہے۔,I enjoy drinking coffee.
Thật đẹp làm sao!,How lovely!
他没有早起。,He woke up late.
วัคซีนทดลองนี้แสดงผลลัพธ์ที่น่าพึงพอใจในผู้ป่วยโรคมะเร็งหลายประเภท,Promising results from a trial vaccine are being seen in cancer patients.
他有没有儿子？,Does he have more than one child?
过滤器的效果各不相同，如果对此有所顾虑，那么您应该考虑购买信誉好的公司生产的密封瓶装水。,"If you have concerns about the water, then buy it in sealed bottles."
"Kuhakikisha kuwa unapata usingizi unaotosha, ulio na ubora mzuri, unapaswa kuwa 'silaha ya siri' ya mwanafunzi ili kukabiliana na mkazo, uchovu na wasiwasi, alisema - hata kuepuka kuongeza uzito, kwa sababu ukosefu wa usingizi huifanya akili kuwa katika hali kutoridhishwa na kukufanya uwe mwenye njaa wakati wote.",Getting enough sleep is good for students because it reduces stress and keeps them from overeating.
ศูนย์แจ้งเตือนภัยสึนามิในมหาสมุทรแปซิฟิกยังระบุอีกด้วยว่าไม่มีสัญญาณใด ๆ ที่ชี้ให้เห็นว่าจะเกิดสึนามิ,The Pacific Tsunami Warning Center said there was no sign of a Tsunami.
"""Le nombre de personnes qui abandonnent l'État pour aller à travailler à l'étranger, aux États Unis a été restreint, d'abord à cause des difficultés d'entrée et deuxièmement parce que en entrant ils ont déjà beaucoup de difficultés pour trouver du travail, ces gens restent ici et y demandent des sources de travail, ce qui fait que le chômage hausse"", a déclaré-t-il.",People in the state are not leaving the area to find work in the US.
Τα ατυχήματα είναι αναπόφευκτα.,Accidents will happen.
Не можете ли да го направите?,Are you unable to do that?
"""Tin tôi đi,"" anh ấy nói.",He said the other person should trust him.
حسب اللي سمعتُه، هو راح أمريكا عشان يدرس أحياء.,I heard that he went to America to study biology.
"""Открыв некоторые механизмы, можно предположить потенциальные методы вмешательства в них"", - добавила она.","She said there were interventions available, but only if you know the mechanisms."
"El presupuesto de ""Paroubek"" quitó dinero de las rentas y los subsidios de enfermedad",Money for pensions and sick pay will be taken from Paroubek's budget.
تمھیں کوئی آئڈیا ہے کہ ٹام نے اپنا کیمرہ کدھر دکھا ہوا ہے؟,Do you know where Tom has put his camera?
هل بإمكاني إيقاف سيارتي هنا؟,Is it alright if I leave my car here?
"""Por supuesto, los rusos están más interesados en el “bling-bling”.",Russians are interested in other things.
"""Nói thật là tôi rất là sợ độ cao."" ""Bạn nhát quá!""","""I'm afraid of heights!"" ""You are a coward!"""
"""Pero para mí es importante contar con mi propio dinero y tiempo"", dice otro joven de unos 20 años.",A young man said that it is important to have your own money and time.
不好意思，请问我可以开窗吗？,"Excuse me, would you be bothered if I opened the window?"
"""Larry estaba de vuelta en su querida ciudad natal de Dallas, representando otra vez el papel icónico que más le gustaba"", dijo la familia.","Larry returned to his favorite place, Dallas."
Tôi không thể ăn hay uống những thức ăn rất nóng.,I cannot consume really hot things.
"Dans son article intitulé "" Qui ? Avec qui ? Les président de parti se tiennent sur la réserve face aux questions de la coalition"", le quotidien autrichien conservateur s'occupe de la situation de la politique intérieure confuse qui s'est installée après les élections autrichiennes.",The newspaper was based in Vienna.
这里允许拍照吗？,I am unsure if pictures are allowed.
别浪费时间。,Do not spend time in a non-beneficial way.
"""บาร์ไม่ได้เป็นห้องนั่งเล่นแถวบ้านที่ผู้คนจะไปเป็นกิจวัตรประจำวันอีกแล้ว""",Bars aren't the same as they used to be.
"""Тем не менее, тот факт, что скоро начнутся реставрационные работы стоимостью 10 млн фунтов стерлингов, является лучшим подарком ко дню рождения, и благодаря этому будущие поколения смогут увидеть мост во всем его великолепии"".",The renovation of the bridge is the best present possible.
"การใช้งานบล็อกอย่างเหมาะสม ""สามารถส่งเสริมให้เด็กนักเรียนรู้จักวิเคราะห์และวิจารณ์มากขึ้น ช่วยให้นักเรียนสามารถกำหนดตำแหน่งของพวกเขาในบริบทของงานเขียนของผู้อื่นผ่านการตอบสนองต่อเนื้อหาในอินเทอร์เน็ตอย่างกระตือรือร้น รวมทั้งสรุปมุมมองของตนเองในประเด็นที่กำหนด (ออราเว็ก, 2002)",Students can define their positions by actively responding to Internet materials.
ภาษาอารบิคจะอ่านจากขวาไปซ้าย,Arabic text is read from right to left.
อดีตตำรวจชาวฟิลิปปินส์ได้จับกลุ่มนักท่องเที่ยวชาวฮ่องกงไว้เป็นตัวประกันโดยก่อเหตุ​จี้รถโดยสารของพวกเขาในกรุงมะนิลา เมืองหลวงของประเทศฟิลิปปินส์,A former Filipino policeman kept Hong Kong tourists hostage in Manila.
खगोल विद्या किसी भी तरह से नई विद्या नहीं है।,Astronomy is a very old science.
Đây là các bước để bắt đầu.,Here's where you can start.
"उन्होंने कहा ""यह देखना रोचक होगा कि क्या संतुलन पुर्नस्थापित करने के लिए नए पोप, बाकी दुनिया से भी कार्डिनल्स मनोनीत करते हैं।",He said it would be interesting to see if the new Pope nominates cardinals from other parts of the world to restore balance.
"Baada ya kuosha na kukausha mikono kwa kutumia kikausha mikono kwa hewa vuguvugu, idadi ya jumla ya bakteria ilipatikana kuongezeka kwa wastani kwenye vidole kwa 194% kiganjani kwa 254%.",The use of warm-air hand dryers was found to increase the amount of bacteria on the hands.
مجھے تلاش مت کرنا۔,Do not seek after me.
Tôi không biết Tom ở đâu và tôi cũng không muốn hỏi anh ấy.,I do not want to inquire of Tom's whereabouts.
انگریزی میری مادری زبان ہے۔,I'm a native speaker of English.
Uluslararası Göktaşı Organizasyonunun internet sitesinden kaç tane gök taşı görüldüğü yazılarak bilime katkıda bulunulabilir.,You can make a contribution by writing the amount of meteors that can be seen on the website.
Nụ cười của cô ấy là một lời nói dối nhằm che đậy nỗi buồn của cô ta.,She laughed but it didn't reach her eyes.
"""Mientras podamos esquiar en invierno y hacer senderismo en verano, estamos contentos"", dice Anna.",Anna said that as long as they can ski in the winter and hike in the summer they are happy.
Tôi không lái.,I did not drive.
اجزوا الآن.,Don't wait to book.
"""مفكرة الموت"" هو واحد من أفضل عشرة مسلسلات تلفزيونية عندي.",Death Note is definitely in my top 10 favourite shows of all time.
Η Αλγερία δεν είναι επικίνδυνο κράτος.,Algeria is a safe place to travel to.
"""Se encontraba en la feria de Holešovice en alguna fiesta de baile.""",She went to the dance party.
Kendisinin danışmanlık şirketi Innovative Consulting Services'e yapılan çağrıya da hızlı bir geri dönüş yapılmadı.,"The call that was left at the consulting firm, was not returned right away."
"แต่กลุ่ม Cromwell Society กล่าวถึงข้อเสนอของมร. คริก (Mr Crick ) ว่า ""เป็นความโง่เขลา"" และ ""พยายามที่จะเขียนประวัติศาสตร์ใหม่""",The Cromwell Society was very critical of Mr Crick's suggestion.
Mardin'in Nusaybin ilçesinde devriye görevi yapan polis aracına PKK'lılar tarafından açılan ateşte 1 polis memuru şehit oldu.,PKK members shot at a police car in the Nusaybin District.
你了解它吗,Were you unaware of that?
"اس نے بعد میں 5000 ٹیسٹ کرنے والے کٹ، 100,000 چہرے کے ماسک اور 5 وینٹی لیٹر پاناما کو بهیجے۔","Panama received 5,000 testing kits, 100,000 face masks and 5 ventilators."
“你怎么知道我的电话号码的？” “汤姆告诉我的。”,Tom gave me your number.
Ayrıca Radyo 3'ün yeni müzikler keşfetme ve çalışmaları tanıtma çabasının da çok önemli olduğunu düşünüyorum diye konuştu.,Radio 3 is committed to finding new music.
Ξέρετε σε ποιον μιλάτε;,Do you know who is on the other end of the conversation?
一匹马拉着大车沿着大路走。,A horse pulled a cart down the road.
Tôi không thể kết nối vào mạng.,The internet is down.
استيقظ بيل باكراً ليلحق بأوّل قطار.,The first train is something Bill wanted to catch.
"""ФАКТЫ"" будут следить за развитием ситуации.","Development of the situation will be monitored by ""FACTS""."
"""छोटे और मध्यम आकार कंपनिया अक्सर अनुभव के अभाव, कर्मियों और वित्तीय संसाधनों अनधिकृत पहुँच के खिलाफ प्रभावी ढंग से कॉर्पोरेट रहस्य की रक्षा करने के लिए,"" BfV एक रिपोर्ट में चेतावनी देती हैं।",The BfV warns that smaller companies don't have the means to protect their intellectual property.
"""Celui qui se trouve dans le Gouvernement qui a filtré les informations est coupable de trahison et tout ce que ne soit pas une exécution serait une punition trop aimable"", a déclaré-t-il pour Fox.",The person who leaked the information should receive the death penalty.
Wanafunzi wa Harvard wafunzwa somo katika kupata mapumziko ya kutosha.,Harvard students learn how to rest well.
संयुक्त राज्य अमेरिका समेत - विश्व नागरिकों साथ ही उच्च अधिकारियोंने एक सार्वजनिक सेवा की व्यापक निगरानी के एक ग़ैरजिम्मेदार प्रणाली के रहस्योद्घाटन को आंका है.,A system of pervasive surveillance has been deemed a public service.
میں سکاٹ لینڈ کا دورہ تب تک ملتوی کر رہا ہو جب تک موسم تھوڑا گرم نہیں ہو جاتا۔,I will go to Scotland when it's warmer.
"Kufikia Alhamisi, Shirika la Utangazaji Marekani iliripoti kulikuwa na angalau visa 126,000 ya COVID-19 ulimwenguni, iliyosababisha vifo zaidi ya 4,600.","Over 4,600 people have died from COVID-19 as of Thursday."
"""¿Estás bien?"" ""Sí.""","""Are you alright?"" ""Yes, I am."""
"'Yüzücünün kişiliğine değil, performansına atıfta bulunuyordum.'",The statement was about the athlete's performance and not the person.
هل أنت تعلم ماذا تفعل؟,Are you sure about your actions?
Питай Том дали говори френски.,Inquire of Tom if he has the ability to speak another language such as French.
"Хайде, бейби, бий се с моя лъжец!","Fight my liar, come on!"
อาร์เจนตินาขึ้นชื่อว่ามีทีมโปโลและผู้เล่นที่ดีที่สุดประเทศหนึ่งของโลก,Argentina is best known for its polo team and players.
"Xin lỗi, lối thoát hiểm nằm ở đâu?",Can you tell me where the exit is?
"Όποιος κυνηγά πολλούς λαγούς,δεν πιάνει ούτε έναν.",You will end up with nothing if you try to go after two things at once.
"''Tout ce à quoi à nous assistons est illégal, anticonstitutionnel et contraire aux arrêts de la Cour suprême'', a déclaré le magistrat au journal The News.",The magistrate said that everything they would be attending was against the Supreme Court measures.
Anh ta đang khoác lác.,"He's walking with a confident, even arrogant, swagger."
"เนื่องจากประเทศจีนกระตือรือร้นมากในเรื่องปัญญาประดิษฐ์ สหรัฐควรจะสนับสนุนเงินทุนในการวิจัยด้านนี้เป็นสองเท่า Kai-Fu Lee นักลงทุนและผู้ประกอบกิจทางด้าน AI ที่เคยทำงานให้กับ Google, Microsoft และ Apple กล่าว",Kai-Fu Lee believes the US should increase their research spending in AI.
Σας αρέσουν τα ζώα;,Do you have a fondness for animals?
"""Ils doivent fournir une contribution de 12 millions et en dépit du fait que l'année va bientôt finir ils ne nous ont rien donné, même si depuis juillet ils devaient nous en donner une partie"", dit-il, ""et nous, pour n'enregistrer pas de retards, nous avons commencé les ouvrages et nous avons beaucoup avancé, mais nous avons besoin de l'argent"".",They owe us money.
你闻吗?,Are you paying attention?
Tôi đã quyết định làm việc cực lực hơn.,I've decided to apply myself more diligently.
"คนที่ทำงานอยู่ในอู่ซ่อมรถใกล้กับที่เกิดอุบัติเหตุกล่าวว่า: ""มีเด็ก ๆ กำลังรอข้ามถนนอยู่ เด็กเหล่านั้นทั้งกรีดร้องและร่ำไห้""",The person who witness the accident heard children screaming and crying.
我妈在的时候别讨论这件事。,Do not discuss it when my mother is around.
هل تحبه ؟ / هل تحبينه ؟,Are you in love?
"""ฉันตัดสินใจเกี่ยวกับ Brett Kavanaugh และจะได้รับโทษรุนแรง"" เขากล่าว",He is sure about his stance on Brett Kavanaugh.
"Enerji şirketi, ""Bu nedenle, AGL, sözleşmelerin 2017 mali yılına da katkıda bulunmasını beklemeye devam edecek"" dedi.",AGL said the contracts would contribute to earnings next year.
Не са ли сладки?,Aren't they just the cutest?
"Преди започването на този вид терапия,желанията на пациентката трябва да бъдат взети под внимание.",The patient must be asked if they want to proceed with therapy or not.
"“Иначе, мы рискуем реинфицировать Соединенное Королевство, с потенциальной второй волной здесь и еще одним локдауном”.",The UK is at risk of a second wave of infection and another lockdown.
แม้ว่าหมู่เกาะตามชายฝั่งทะเลและทะเลสาบซึ่งมีขนาดใหญ่ที่สุดจะมีความกว้างมากพอให้เรือยอชต์แล่นผ่านได้ แต่เรือลำเล็กหรือแม้แต่เรือคายัคทำให้คุณได้สัมผัสกับประสบการณ์ที่แตกต่างออกไป,"The coastal archipelagos and biggest lakes can be explored in a yacht, smaller boat, or even a kayak."
现任参议员、阿根廷第一夫人克里斯蒂娜·费尔南德斯·德·柯克纳 (Cristina Fernandez de Kirchner) 昨晚在距离布宜诺斯艾利斯 50 公里（31英里）的拉普拉塔市 (La Plata) 宣布了其总统竞选资格。,"The current senator, Cristina Fernandez de Kirchner, is running for president."
"Kwanza kabisa, viwango vyao vya juu vya kubadilika katika uzalishaji wa RNA.","Secondly, the have a somewhat high mutation rate."
बच्चों को लाओ।,The kids should be brought.
"""Социальные сети должны быстрее принимать меры, чтобы удалять такую жуткую ненависть со своих платформ""",Social media needs to do more to remove hate speech from their platforms.
"""L'idée du calendrier de l'Avent de la cabine de plage est venue juste après une conversation avec quelques amis, au cours d'un dîner.",The idea of the beach hut Advent calendar came from a dinner conversation.
ไม่ว่าจะอย่างไรก็ตามผู้นำต้องรับผิดชอบต่อความสำเร็จและความล้มเหลวของทีม,Success or failure of the team is the responsibility of the leader.
एयरोस्पेस राजस्व में 2 अरब डॉलर में 13 प्रतिशत की गिरावट.,Revenue in the aerospace sector dropped by 13% to 2 billion dollars.
"एजेन्सी ने कहा कि लेकिन 10,000 फीट से कम ऊंचाई पर इन्टरनेट कनेक्ट करके सर्फ करना, ईमेल आदान-प्रदान करना, संदेश भेजना या प्राप्त करना, या डेटा डाउनलोड करना अभी भी प्रतिबंधित रहेगा।","It will still be against the rules to use the internet for things such as social media, emailing, texting or downloading information below 10,000 feet."
吃了没。,Did you eat?
Наемате ли се?,I am curious if you are volunteering.
"Между другото, напоследък да си се чувала с него?",Have you heard from him lately?
"«Κάτσε να πιούμε καφέ.» «Δεν μπορώ, είμαι βιαστικός, πρέπει να είμαι σε μισή ώρα πίσω στη δουλειά.»","I am unable to stay for coffee, because I must be back at work in the next thirty minutes."
在历经数千甚至数百万年以后，这两个种群最终看上去会截然不同，以致于不能将两者称作同一物种。,The two populations will diverge so far that they'll become different species.
चंडीगढ़: प्रकाश के पर्व पर अंतरराष्ट्रीय ख्याति प्राप्त ब्रांड कैट ने ट्रैडी फुटवियर और परिधानों की सिलेक्शन को पेश किया है।,Trendy clothing and footwear were offered by CAT for the festival of lights.
การเดินทางแบบแบกเป้ด้วยสกี กิจกรรมนี้เรียกอีกอย่างว่าสกีในเขตทุรกันดาร ท่องเที่ยวด้วยสกี หรือเดินป่าด้วยสกี,Ski touring is the same as ski hiking or backcountry skiing.
Bạn sẽ cộng tác chứ?,Will you work with us?
"""La gente de todos los niveles se ocupa del fútbol ya hace mucho tiempo y espera conocer este jueves al nuevo Presidente.""",People have been in football for a long time.
Ford pia alishuhudia katika kesi kuhusu madai ya mwanamke huyo.,Ford testified at the hearing about the allegation.
