sent0,hard_neg
"""Vous ne pouvez pas traiter un problème si vous ne le diagnostiquez pas"", Dimitri Christakis, co-auteur de Megan Moreno et directeur du centre pour la santé, le comportement et le développement des enfants à l'Institut de recherche pour les enfants situé à Seattle, affirme le Washington Post.",Dimitri Christakis has never been a director of anything.
"«Я баллотируюсь в президенты, потому что ждать больше нельзя, иначе страна развалится по частям». — «Ты же понимаешь, что чтобы что-то изменить, нужен не только хороший президент?» — «В смысле?»","I am not running for president, since I understand changing the country is not in my ability."
"""Normalmente, suele tratarse de Fernet o ron.""",It is always gin.
Tôi đọc được.,I can't read.
tôi có thể chịu đựng được sự đối xử của nó.,I like his behavior.
"""Se saturó en dos horas"", dijo Restall sobre su curso para estudiantes con alto promedio, que se llenó con 35 estudiantes.",The course was still open for enrollment after three hours.
"""Cette mission était impérative en raison du risque d'utilisation du tunnel terroriste pour des attaques contre des civils israéliens"", a indiqué par ailleurs le porte-parole de l'armée Peter Lerner.",The army spokesperson said that the mission was a complete waste of tax payers money.
Eilidh Doyle amechaguliwa katika bodi ya Wanariadha wa Uskoti kama mkurugenzi asiye mtendaji katika mkutano mkuu wa mwaka wa bodi hiyo ya kiserikali.,"Eilidh Doyle has been dismissed from the board of Scottish Athletics, following a vote of no confidence at the annual general meeting."
ผู้ต้องขังได้จุดไฟในสนามระหว่าง 22.00-23.00 น. เวลามาตรฐานเขตภูเขา,A fire was started in the kitchen by a chef that had left the oven on.
ومن يحلل عليه غضبي فقد هوى.,Anyone on which my wrath descends is blessed.
"""Si no, normalmente no empleo slang.""",I recognize all of the slang.
बैटमैन और रॉबिन दोस्त होते हैं।,Batman and Robin are mortal enemies.
كيف يمكن لإله قادر على كل شيء أن يخلق صخرة لن يمكنه أن يحملها؟,God can do everything.
Watoto ni maua ya maisha yetu.,Children are like parasites.
"बैमफोड ने दण्ड आदेश के विरूद्ध अपील किया है, तथा 50,000 बहत पर जमानत मिल गई है।","Bamford has not been granted bail, as he is appealing the sentence."
"""Es un tigre de papel, un ejército de cuarteles, edificios y bombas sin suficientes soldados capacitados para cumplir la misión"", dijo Panetta en sus palabras de apertura en el Pentágono.",It was at the Pentagon where Panetta delivered his opening remarks.
"""การตัดสินชี้ขาดเป็นโอกาสในการมองว่าเราต้องก้าวข้ามผ่านอดีตที่ผ่านมา""",The ruling shows that we have to go back to the past.
"""Мне бы хотелось, чтобы была более удачная попытка и более удачный финиш для него"", сказал Джонстон.",Johnston said that he wanted a worse finish.
"""Fuera de la carretera a mano izquierda,"" escribió, ""hay la moderna escuela pública marón con sus acabados blancos, sus bien mantenidos jardinos y patios de juego, cuidados por Howard Miller, como él puede apenas leer y escribir.""",There is no school located off the road to the left.
啊？我们说过要去公园吗？我没有印象。,We didn't say we were going to the park.
रात करीब आठ बजे आनंद पांडेय होटल पहुंचा और खाने का आर्डर दिया।,Pandey didn't eat anything when he arrived.
मेहमानों को लाने-ले जाने के लिए 32 चार्टर्ड विमानों की व्यवस्था की गई है।,Only 2 chartered planes have been booked to ferry the guests.
Vào phòng tôi rồi hẳn nói,"Leave this place immediately, and don't speak to me anymore."
"""Lo interesante es que a su madre ni le sorprendió que su hija desapareciese 48 horas"", se sorprende el jefe.",The chief physician said it was odd the mother hadn't found it strange.
Δε θα πήγαινες στην Αυστραλία να χτίσεις μαγαζιά;,You aren't going to Australia to build houses?
Unakumbuka?,I do not want to know if you remember.
مجھے انڈے پسند نہیں,I really love eggs.
Буря попречи на самолета да излети.,The plane was not able to take off due to the sunny weather.
โดยทั่วไปแล้ว โทรศัพท์ดาวเทียมไม่ใช่สิ่งที่ใช้แทนโทรศัพท์มือถือได้ เนื่องจากต้องอยู่กลางแจ้งโดยมีเส้นทางสู่ดาวเทียมที่ปราศจากสิ่งกีดขวางเพื่อโทรออก,"A satellite phone is a good substitute for a mobile phone, as you can use it anywhere you like."
میں جاپان دو سال پہلے آیا تھا۔,I was born in Japan.
"Kwa mfano, antibodi zilizotolewa kwa mgonjwa aliyepona ziliangamiza MERS-CoV.",The antibodies didn't do anything.
"Kufikia jana, Shirika la Afya Duniani liliripoti visa 1,051,635 vilivyothibitishwa, ikiwa ni pamoja na visa 79,332 katika saa ishirini na nne kabla ya 10 asubuhi, Saa za Ulaya ya Kati (0800 UTC) mnamo tarehe 4 Aprili.",The World Health Organization has reported that there are no confirmed cases of the virus.
"Demokratik adayın beyanları ile bağlantılı olarak Clinton kampanyası görevlisi Ian Sams ""Sıra sizde"" tweet'ini attı.",Ian Sams said your move in an email.
Luật sư của anh chuẩn bị kiện tờ nhật báo Der Spiegel của Đức vì đã đăng cáo buộc này.,"Der Spiegel has not published any allegations, but rather, facts based on thorough research."
鲍勃忘记带通行证，这使得他上学迟到了。,"Bob was on time for school, thanks to bringing his pass."
इसके चलते एक महिला कर्मचारी घायल भी हो चुकी है।,"Because of this, the male employee was injured."
"«¿Me lo prometes?» «Sí, te lo prometo.»","""I promise"" said the man without being asked if he promised."
Μην αφήσεις τον Τομ να βγει έξω.,Tom needs to go out.
你吃饭了没有？,Did you sleep well?
"""Une enquête est en cours.""",No investigations are ongoing currently.
"Trató de jugar al máximo en el primer tiempo, anotó Guido Carbonneau.",Guy Carbonneau said he tried to do too little.
Είστε σίγουροι ότι δε θέλετε να μιλήσω στον Τομ;,I already spoke with Tom.
"Bir kara tahta, siyah olmak zorunda değildir.","A blackboard must be painted black, or it won't be a proper blackboard."
هل يجب ان تُكتْب هذه الرسالة بالإنجليزية,It can be in French as well.
كلنا صادقنا على المخطط.,Everyone disapproved of the plan.
كل قططها جالسة على سقف سيارتها.,Her cats are under the car.
Ти не си ли Том?,You aren't Tom.
Имаш ли някаква дъвка?,He didn't ask if anyone had gum.
اگر ممکنہ خطرے کا پتہ چلے تو، ایپ نہ صرف خود کو قرنطینہ کرنے کی تجویز کرتی ہے، یہ مقامی طبی عہدیداروں کو بھی انتباہ کرتی ہے۔ متاثرہ افراد اور جنوبی کوریا، تائیوان اور سنگاپور میں ان سے رابطہ کرنے والے افراد کو ڈھونڈنے کے لیے موبائل فون کا ڈیٹا، چہرے کی پہچان کی ٹیکنالوجی، موبائل فون کو ٹریک کرنا اور مصنوعی ذہانت پر بڑے اعدادوشمار کے تجزیات کا استعمال ہوتا ہے۔,"The app doesn't track anyone or anything, infected people or those they've been in touch with."
"उन्होंने कहा ""आप एक बेहतर सौदा पायेंगे।""","""You're going to get ripped off,"" he said."
"«И совершенно случайно Мисбах был в составе комитета, который не продлил наши контракты, а теперь становится их основным наследником,» — добавил он.",Misbah was not on the committee.
"Hata ingawa zaidi ya asilimia 10 ya watu wa Lombok walikuwa wamehamishwa, hakuna janga la kitaifa lililotangazwa, sharti linalohitajika kuchochea usaidizi wa kimataifa.",Lombok declared a national disaster so they could receive international aid.
"Chanjo za majaribio kutokana na mbinu hizi zozote zitalazimika kupimwa kwa ajili ya usalama na ufanisi. Tarehe 16, Machi 2020, jaribio la kwanza la kliniki la chanjo lilianza na watu 4 waliojitolea huko Seattle.",The first trial used 5 volunteers.
Tôi chơi được Flappy Bird.,I'm the best Flappy Bird player ever.
Μην ανοίξεις αυτό το κουτί.,Open the box.
"""ฉันไม่คิดว่าเป็นเรื่องผิดปกติ เธอคิดอย่างนั้นไหม?”",I think that is a very rare occurence.
Tôi có hai con mèo.,I've never had a cat.
"अनुमान के अनुसार प्रत्येक वर्ष 2,000 बच्चों मे से एक बच्चा ऐसा होता है जो न तो लड़का होता है न लड़की।",Children are either boys or girls at birth.
"Получи ли това, което ти изпратих?",I know you didn't get what I sent.
"एंडरसन ने 40 रन देकर चार, जबकि नीशाम ने 53 रन देकर चार विकेट झटके।",Nisham took 5 wickets but conceded 60 runs in the process.
صحح الأخطاء ، إن وُجدت.,Ignore the mistakes
"สมาชิกสมัชชา Plaid ท่านหนึ่งกล่าวว่า ทั้งกลุ่มมีความเห็นพ้องต้องกันว่า ""ไม่ชอบใจ"" และมีการเสนอทางเลือกอื่นให้",The group was ecstatic at the announcement.
سُجِنَ رجل بتهمة العنصرية ، حيث تحدث بشكل معنف ضد المرأة مع سائح فرنسي .,"The man received a warning from the police, but wasn't sent to jail."
"""No solo nuestros clientes empezaron a considerar a la marca Farmet como considerablemente mejor, sino que también los socios extranjeros empezaron a valorar la colaboración con una empresa que obtuvo un mayor éxito en su país"", dice Karel Žďárský.",Karel Žďárský thinks that the brand Farmet is perceived as poorly.
"Tôi rời Osaka đi Tokyo, tin rằng anh trai sẽ giúp mình.",I came to Osaka from Tokyo hoping to get help from my sister.
你还喜欢我吗？,You never liked me.
"""Ces personnes ont bénéficié de très peu de suivi après la capitulation"", a déclaré Sok Leang du Centre pour la justice et la réconciliation qui organise des forums publics dans tout le Cambodge, y compris à Anlong Veng.",The people greatly benefited after the surrender.
Ти имаш ли?,He didn't want one.
С по-малката ми сестра по едно и също време ли заминахте?,My younger sister was not around when you left.
Đức Giêxu chủ trương khoan dung.,Christ taught that people should seek revenge for wrongs done to them.
"“Представьте, что вы играете в АФЛ, но тренируетесь в любительском клубе, потом в субботу вы выходите и играете с парнями из АФЛ”, - сказал он.",Imagine you are not playing in the AFL at all on weekends.
不要担心！,Panic!
"Geçtiğimiz Aralık ayı başında, ABD'nin California eyaletindeki San Bernardino kentinde IŞİD sempatizanı bir çiftin düzenlediği silahlı saldırıda 14 kişi hayatını kaybetti.",The couple was charged with capital punishment after the San Bernadino attack.
الصديق الوفي كالطائر النادر.,A real friend is as common as a housefly.
"«Доказательства указывали на то, что HSBC понимал данную взаимосвязь, но намеренно продал конфиденциальные деловые документы своего клиента американской стороне, чтобы правительство США закрыло глаза на неправомерное поведение самого британского банка и не наказывало его в соответствии с Соглашением 2012 года об отсрочке судебного преследования», как утверждалось в одной из статей газеты по данному делу.",HSBC did not intentionally sell out its customer's confidential business documents.
هل أنت تفكّر في إخباره عن ذلك؟,Are you thinking of killing him?
แล้วการขาดแคลนเงินทุนก็ทำให้การบริหารงานของนาย Joko ประสบที่นั่งลำบาก เนื่องจากปีหน้าเขาจะต้องเข้าสู่วาระการเลือกตั้งใหม่อีกครั้ง,Next year Mr. Joko will not be contesting for re-election
"""Las bonificaciones y penalizaciones dependerán de la compañía y del beneficio de ésta.",Advantages will have no relation to the company.
"""Vous allez vous en rendre compte lors des prochains matches"". Celui contre la France inclus.",You never realize anything during the matches to come.
การเขียนบล็อกเป็นเครื่องมือที่สนับสนุนให้เกิดการร่วมมือและส่งเสริมให้นักเรียนเรียนรู้เพิ่มเติมนอกเวลาเรียนตามปกติ,Blogging is a selfish act.
الأطفال مرآة للجو العائلي.,Children don't reflect the family atmosphere.
"""İnsanlar beraberlerinde kefalet parası getirmek olsun, akrabalarına bu eyaletten geçecekleri konusunu bildirmek olsun, hazır olmalılar.""",People don't need to do any kind of preparations for the trip.
"«Поклянись на Библии», – потребовал он.",He was fine with them swearing on the Koran.
"Kazada Abdullah Şanver, şoför mahallinde sıkıştı.","Abdullah Şanver, thankfully, was not in the driver's cab during the accident."
""" De Godbout, que creó HydroQuebec, en Lesage que hizo la Revolución tranquila y la nacionalización de la hidroelectricidad, en Bourassa que hizo la Bahía James nuestro partido supo forjar el futuro "", declaró Juan Charest.",The party has no one of significance attached to it.
"Billy, hãy cút đi! Tôi không muốn nhìn thấy anh ở đây nữa.","Billy, stay right there. I am glad you are here."
每个人都能达到开悟的境界，而实现它的唯一阻碍是我们自己的紧张感和消极情绪。,It is impossible for everyone to achieve the goal of being enlightened.
"«Ο Τομ έχασε όλα του τα λεφτά στον τζόγο.» «Καλά να πάθει, όταν του έλεγα εγώ να μην παίζει δεν με άκουγε.»",Tom won a lot of money gambling.
اومبعد، رحت، وشنو مرڨت بلّي نسيت ساكادۆ ديالي ف دارهوم.,I always kept my backpack on my back.
Прав ли съм?,Am I wrong?
早餐时间在七点到九点。,Breakfast is available at midnight.
人类登上月球、柏林墙倒下，世界被我们的科学和想像被连接在一起。,People have yet to land on the moon.
"""A los gitanos, como ciudadanos de la Unión Europea, hay que asegurarles el derecho para una educación de calidad y garantizar la abolición de la educación segregada y de bajo nivel"" - destacó Lívia Járóka.",Roma people are not citizens of the European Union.
उन्होंने हाल ही में अलग-अलग स्थानों पर हुई इस तरह की घटनाओं का उल्लेख करते हुए कहा कि जब अधिवक्ता समाज सुरक्षित नहीं है तो आम आदमी की सुरक्षा का सहज ही अंदाजा लगाया जा सकता है।,"The lawyers, judges and all associated are perfectly safe in their professional and private lives."
Hokuriku Electric Power Co. báo cáo không bị ảnh hưởng bởi trận động đất và các lò phản ứng Số 1 và 2 tại nhà máy điện hạt nhân Shika của công ty này đã được tạm dừng.,All of the reactors at the plant were in working order and running smoothly.
Бездомна ли си?,Do you have a family?
"""Sólo se muestran confusos respecto a dónde están"", señala Pelikán, añadiendo que, a menudo, los pacientes pierden el buen humor al menos cuando ven los gastos que han generado.",Pelikan told the patients the cost of their treatment made them even more confused.
"""Nous ajoutons ""2012"" pour avoir la possibilité de donner le cours à nouveau, au cas où le monde ne disparaitrait pas"", a déclaré le professeur Restall.",Restall said the course won't be run again no matter what.
"Мислиш ли, че Мери е привлекателна?",Do you think George is handsome?
"उन्होंने राज्य प्रसारक सी.सी.टी.वी. से कहा कि ""इस मामले में मैने जूमलॉयन को तथा साथ ही पूरे समाचार मीउिया उद्योग को तथा लोगों का विश्वास जीतने की इसकी क्षमता को क्षति पहुंचाई है।""",He caused damage to Zoomlion and the news media industry for reasons unrelated to himself.
"Zora a bien décrit la réalité "" a déclaré Ella Dinkins, 90 ans, une des jeunes filles de Johnson qu'Hurston a immortalisée, citant les chansons sans couleur, interprétées par des hommes qui louaient leur beauté.""",Zora sang songs about her beauty.
"Сигурна ли си, че наистина искаш да го направиш?",I know you don't want to do that.
Εντάξει. Πόσα;,They were not interested in the quantity.
"Tuy nhiên, quảng cáo này, được đăng trên trang Facebook của công ty, đã gây ra nhiều tranh cãi trên mạng.",The firm has not made an advert for Facebook
"Tout le monde est sur-excité, raconte une des participantes, Andrea.",Andrea is the only participant.
मैं एक रात और रह सकता हूँ क्या?,Can I leave a day early?
Говориш ли индонезийски?,Can you speak Russian?
"ہانگ کانگ نے ایک سکیم متعارف کی ہے کہ مشتبہ مریض گھر پر قیام کر سکتے ہیں، ""ایمرجنسی شعبہ مریض کو ایک نمونے کی ٹیوب دے گا""، وہ اس میں تھوکے گا، اسے واپس بھیجے گا اور کچھ دیر بعد نتیجہ حاصل کرے گا۔ برطانیہ کی NHS نے اعلان کیا ہے کہ یہ مشتبہ کیسوں کا گھر پر ٹیسٹ کرنے کے لیے ایک سکیم کا آغاز تجرباتی بنیاد پر کر رہے ہیں، جس سے مریض کا دوسرے افراد کو انفیکشن منتقل کرنے کا خطرہ ختم ہو جاتا ہے یا اگر وہ ہسپتال آٓتے ہیں ایمبولینس ایک دفعہ استعمال ہونے کے بعد اسے انفیشن سے پاک کرنے کے جتن سے نجات مل جاتی ہے۔ مشتبہ مریضوں کے لیے COVID-19 کے لیے ڈرایو تھرو ٹیسٹنگ کے ذریعے، صحت عامہ کا ایک ماہر فرد مناسب احتیاطی تدابیر اختیار کرنے کے بعد نمونے حاصل کرتا ہے۔","The home testing schemes have been scrapped by both Hong Kong and the British NHS, with officials stating that they are unreliable and a waste of resources."
"Bir plak yığınından fırlayan bir çalışma arkadaşı ""Sosyal hizmet görevlileri gibiyiz"" diyor.",I have no idea what we're doing here.
"""Aquí no se va a juzgar a nadie"", opina una de las empleadas de RPG Byty y un hombre que se encuentra en la calle frente al centro de atención al cliente le da, al menos en parte, la razón.",The RPG Flats clerk thought for sure that they would be sued.
Đảo Hồng Kông đặt tên cho lãnh thổ Hồng Kông và đó là nơi mà nhiều du khách coi là tiêu điểm chính.,The Hong Kong Island has not been the focus of many tourists.
هل هذه الكتب لك؟,Do these crayons belong to you?
Σ' αρέσει ο Τομ;,What do you think about Jim?
هل تأخّرت كثيرا يا رفاق؟,Are the guys already here?
"ALDI pia ilizindua kikomo cha kifurushi kimoja, siku ya Jumatatu.",A one-pack limit was introduced on a Friday.
جہاں تک کام کے حوالے سے ذہنی تناؤ اور دباؤ کا تعلق ہے تو مجھے اب بھی ان کا سامنا ہے لیکن مجھے مینجمنٹ مناسب لگتی ہے۔,The management position is actually quite relaxed.
"""No está la cosa para muchas alegrías"", asegura el experto.",The expert found it very pleasing.
"""¿Tienes algo que hacer?"" ""La verdad es que no.""","""No, I am terribly busy."""
Да не прекъснах нещо важно?,I interrupted a phone call.
الأفكار المبدعة أصبحت قليلة للغاية مؤخّراً.,New and exciting ideas are popping up all over the place.
"Phim khiêu dâm được xếp loại X, có nghĩa là chỉ người từ 18 tuổi trở lên có thể xem chúng.","Blue movies are rated Z, which means anyone of any age can watch them."
"لا تنس استعمال عبارات ""من فضلك"" و ""شكرا"".","Don't bother with ""please"" and ""thank you""."
إياك أن تخبرني، دعني أخمن.,"Please, tell me. I don't want to guess."
โดยทั่วไปจะสามารถใช้เงินปอนด์ของอังกฤษได้ในทั่วทุกที่ของหมู่เกาะนี้ รวมถึงในการใช้บัตรเครดิตสแตนลีย์ และเงินดอลลาร์สหรัฐก็มักได้รับการยอมรับเช่นกัน,British pounds are worthless on the island.
На мен ли говориш?,You are talking to him.
Да не ме обвиняваш за неуспехите си?,I'm not blaming you for your success.
他换台了。,He didn't change the channel.
两者都可以，但是前者更简洁。,The latter is more to the point.
"""No es una opción, es un imperativo, porque ¿dónde encontramos empleo para decenas de millones de nuestros jóvenes hombres y mujeres.""",It is imperative that we find employment for our older men and women.
Мислиш ли?,I know they didn't mean it like that.
ANTALYA'da FETÖ/PDY soruşturması kapsamında 12 hakim ve savcının da aralarında bulunduğu 24 kişi gözaltına alındı.,The 24 people were released after being proven innocent.
"Ferrell kendi kendine, ""Bu vahşice."" diye düşündü.","Ferrell thought to himself, ""this is mild""."
"""Ya he cumplido mi suspensión de tres días allí arriba.""",My suspension was five days long.
"गत वर्ष अलगाववादियों के पाकिस्तानी दौरे का हवाला देते हुए भाजपा नेता कहा कि आइएसआइ चीफ लेफ्टिनेंट जनरल जहीर उल इस्लाम, लश्कर, हिज्ब के सरगना हफीज सईद व सईद सलाहुदीन ने विश्वास दिलाया था कि 2014 में आतंकवाद को हवा दी जाएगी।",No one is predicting a rise in the area of terrorism.
Ο Τομ τρέχει κάθε μέρα;,Tom hates running.
"Parnham ""Şu an iyi bir yerdeyiz"" dedi ancak bu yerin ne kadar iyi olduğu Cumartesi günkü maçın sonucuna bağlı.",Parnham said they were in a very bad place right now.
"""Cien años de soledad"", novela de Gabriel García Marquez, se ha traducido a más de 35 idiomas.","There are no translations of ""One Hundred Years of Solitude""."
"Khoản bảo lãnh được ấn định trị giá 350.000 đô la, vị Luật sư cho biết.","The Advocate reported that his bond had been set at $450,000."
"""La reconciliación, según Khmer, es volver a unir los pedazos rotos"" afirmó.",Reconciliation in Khmer terms means to kill the other party.
一切都很顺利。,Things did not go well.
"Сигурен ли си, че искаш да го чуеш?",They want to tell you about it whether you like it or not.
"Jaribio la Awamu ya I-II inaendesha jaribio ya awali ya usalama na imunogenisiti, kikawaida halifuati utaratibu maalum, hudhibitiwa kupitia placebo na katika maeneo anuwai, huku likibaini dozi sahihi zaidi na faafu.",A Phase I-II trial conducts no testing.
"""Но он не прислушался к моим предупреждениям - и в результате ситуация ухудшилась"", - заявил президент США.",The President gave no warning to anyone.
أأنت أكبر من توم؟,Are you and Tom the same age?
Είναι Καναδοί;,They're not from the Americas.
Ти приятел на Том ли си?,Are you Tom's enemy?
لا تمشي على الزجاج.,Go ahead and trample the grass.
Anh ấy nhận tội lỗi của mình.,He refused to admit that he was guilty.
如果可能的话，在明天前做好这个工作。,Do the work when you can.
Anh ta miễn cưỡng đồng ý với đề nghị của tôi.,He was thrilled with the proposal and embraced it fully.
"«Ты не знаешь, где чипсы, которые я тут оставлял?» – «Нет».",The chips were never lost.
"ทางเข้าถ้ำทั้งหมดซึ่งมีชื่อว่า ""เดอะ เซเว่น ซิสเตอรส์"" มีเส้นผ่านศูนย์กลางยาวอย่างน้อย 100 ถึง 250 เมตร (328 ถึง 820 ฟุต)",Only three of the cave entrances have diameters of 100 to 250 meters.
Може ли да ти искам мнението за нещо?,Can you keep your opinions to yourself?
"""Donc je dirais, "" Gabby, tu n'as pas été battue"", a affirmé Mark Kelly.",Kelly said that Gabby was beaten.
اس نے الٹا کیا۔,He did exactly the same.
"""Digan lo que quieran, pensaremos nosotros después a donde poner la cruz, si sobre Obama o sobre McCain"".",There is no need to place a cross.
"Weed, ""birden fazla bitiren varsa bunu en hızlı yapan ödülü kazanır,"" dedi.","Weed said that even if there's more than one finisher, the one with the best kick gets it."
你能冷冻它吗？,There is no way that you can freeze it.
"""Nous allons poursuivre le M23 et l'acculer partout où il se cache parce qu'il s'agit de criminels"", a déclaré à Reuters le colonel Olivier Hamuli, porte-parole des FARDC.",The M23 will not be pursued.
"जब तक जान है, आशा है।",There is no hope left.
مجھے قرض کی اب ضرورت نہیں ہے۔,I still need to borrow money from the bank.
Купи ли каквото те помолих?,Don't tell me what you bought.
Πήγατε στη Βοστώνη;,Was Boston where you went?
ในฐานะที่เป็นภาคการศึกษาที่สามารถออกแบบและใช้หลักสูตรโรงเรียนตามความต้องการ เราจึงเห็นว่าภาษาสมัยใหม่เป็นวิชาที่ได้รับความนิยมและเป็นที่ต้องการภายในโรงเรียน,Modern languages are falling out of favour as a school subject.
หลังจากการสร้างเขื่อนในปี 1963 ช่วยยับยั้งไม่ให้เกิดน้ำท่วมตามฤดูกาลที่ทำให้ตะกอนกระจายไปทั่วแม่น้ำ,The dam caused more floods to occur in the area.
Cumartesi gününe kadar güney Louisiana'nın çoğunda bir su baskını nöbeti uygulanacak.,There is no threat of flooding in Louisiana.
"Kwa udhibiti wa maambukizi yanayosababishwa na bakteria katika hospitali, imegunduliwa kuwa faida kubwa zaidi kutoka kuosha mikono ilitokea katika 20% ya kwanza ya kuosha, na kuwa faida duni ilipatikana wakati kiwango cha kuosha mikono kiliongezwa zaidi ya 35%.",The first 5% of washing yields the greatest benefit in controlling staphyloccal infections.
200000 دولار كافية بالنّسبة لسامي كي يبدأ حياة جديدة.,"Sami would need at least 300,000 to start a new life."
"Aina zote za PPE lazima zichaguliwe kulingana na hatari kwa mfanyakazi, na kuvaliwa vyema inavyotakikana (k.m., mashine za kusaidia kupumua), kila wakati na kuvaliwa vizuri, kukaguliwa mara kwa mara, kudumishwa, na kubadilishwa, inavyotakikana, na kuondolewa vizuri, kusafishwa, na kuwekwa au kutupwa kuzuia maambukizi.",It is not necessary for PPE to be regularly inspected.
ممكن تخدني السيما؟,Could you kill my dog?
Μη με διακόπτετε.,Keep interrupting me constantly.
中国是一个新兴市场。,China has a developed market.
"ضحك ديما قائلًا: ""لا بأس بها، فأنا ما زلت أنمو. ستصبح مناسبة لي"".",The shirt was too large for Dima.
Μία γάτα δεν έχει ηθική.,All animals have morals.
胃里如同千军万马开过。,The army marches with empty stomachs.
"""Si se descubrieran casos como los que cita se podría hablar de infracción en las condiciones de contrato que podrían traducirse en el fin de la colaboración con la sociedad dada"", respondió a la pregunta sobre este problema Martina Kemrová.",Martina Kemrová refused to answer our question on this problem.
मुख्य न्यायाधीश पी. सतशिवम की पीठ ने आसाराम के बारे में मीडिया को खबर चलाने से रोकने का आदेश देने से इन्कार करते हुए कहा कि उन्होंने मीडिया में रिपोर्ट किए गये हर शब्द को देखा है और उन्हें उसमें दखल देने का कोई कारण नजर नहीं आता।,The panel agreed with the media coverage about Asaram.
بيونسي و جاي زي سمّيا لابنتهما بلو أيفي.,Beyonce's daughter is named Jane Doe.
एसटीएफ अधिकारियों के अनुसार वर्ष 2012 की पीएमटी में शामिल फर्जी छात्रों की जांच की जा रही है।,The forged admissions were never discovered.
"Познаваш ли някой, който говори френски?",I know everyone speaks French.
"""Les choses évoluent si rapidement que je ne sais pas ce que nous réserve l'avenir"", a déclaré Daniel J. Oates, le chef de la police d'Aurora, à l'est de Denver.","Oates knew exactly what to expect next, and the city prepared accordingly."
"Et aussi parce que si ce qui se passe en Irak n'est pas réglé, cela va s'étendre, et ce qui se passe en Syrie va s'étendre aussi.",Nothing is happening in Iraq or Syria.
广东的夏天很长。,Guangdong has short summers.
Жива ли си?,Are you dead?
พาที่ปรึกษาทางการเงินของคุณเข้ามา: ที่ปรึกษาของคุณสามารถช่วยคุณคิดวิธีรับมือค่าใช้จ่ายเหล่านั้นได้,You need to do your own research when it comes to finances.
ผู้ร่วมงานของ West คนหนึ่ง JAY-Z  ก็เคยเขียนแบบทั้งที่มีหรือไม่มียัติภังค์และตัวอักษรตัวพิมพ์ใหญ่,Jay Z has not been a West collaborator.
القطط حيوانات في غاية النظافة.,Dogs are much cleaner animals than cats.
"""Pensé que eras japonés."" ""No, soy mexicano.""",He thought the man was Chinese and the man confirmed his suspicion.
'SAĞLIĞINIZ BİZİM İÇİN ÖNEMLİ',We do not care about your health.
"वेल कहते हैं, ""उनकी एकमात्र समस्या गरीबी है।""","They have no problems, according to Bwelle."
حادثہ میں زخمی ہونے کے بعد، وہ چل نہیں سکتا۔,He can run and jump.
Разбра ли ме?,I am not understood.
"""Где профсоюзы, там и рабочие места среднего класса"", говорит Эллисон, демократ из Миннесоты, который является сопредседателем Конгресса Прогрессивной Фракции.",Ellison said the middle class is going strong.
Nó nói tiếng Nhật như thể nó là người Nhật vậy.,He speaks English to Japanese.
Όλα τα αεροπλάνα έχουν φτερά.,Some planes have rudders instead of wings.
"और कहा कि सबमिट किए जाने चाहिए, बल्कि कहा गया है की तुलना में एक कहानी के माध्यम से पता चला.",It must be stated rather than revealed.
他否认鄙视了她,He said he hated her.
Tớ không thể tin là anh ấy mất rồi.,I knew he was dead and that's okay.
"""En estos momentos creemos que la situación es idónea para la aparición de un operador virtual en el mercado checo.",There is a clear and obvious space for the creation of a full-fledged virtual operator.
Джайънтс играят ли довечера?,The Giants are not playing tonight.
"""Nuestra política exterior y los intereses de este país son mucho más fuertes que su página web.""","Our foreign policy has been an utter failure, and there is no interest."
"""Si nadie fumara, esa tasa se elevaría, al menos, al 50%"", subraya André Beaulieu, portavoz de la Sociedad Canadiense contra el Cáncer.",André Beaulieu thinks that the cancer rate is going down.
"""वर्तमान में CASA के पास, विमान में विद्युत उपकरणों के उफयोग को नियंत्रित करने वाला कोई विशिष्ट विनियमन नहीं है,"" प्राधिकरण ने कहा, ""यह मुद्दा विनियमनों के अन्तर्गत आता है, जिसके अनुसार विमान सेवा संचालन कम्पनियों को सुनिश्चित करना होता है कि सुरक्षा व्यवस्था हमेशा पूरी तरह से बनी हुई है, तथा यात्रियों को चालक दल के सदस्यों द्वारा दिए जाने वाले सुरक्षा निर्देशों का अनुपालन करना होता है।""","CASA has specific regulations on electronic devices, it said."
"«Глупых вопросов не бывает». – «Как мог Леонардо Дикаприо изобрести Мону Лизу, если в XIX веке не было цвета?» – «Беру свои слова обратно».",The Mona Lisa was painted by Leonardo Da Vinci.
निलसेन कंपनी के अनुसार अमेरिकन्स इस साल $1.9 बिलियन खर्च करेंगे।,Americans will only spend $700millions on it this year
"""C'est un mauvais signal envoyé au marché, qui voit le Congrès incapable d'adopter un plan"", a estimé Lindsey Piegza, de FTN Financial.",The market is doing terribly.
Τι σκοπεύει να παραγγείλει στο εστιατόριο; Εγώ σκεφτόμουν κάτι σε σούσι.,"""What will she order at the restaurant?"" ""I don't know."
มีการเรียบเรียงเล่าเรื่องเป็นอย่างดี แต่ยังคงความตลกและสนุกสนาน เหมาะสำหรับรายการทีวีสำหรับเด็ก,They held back a lot in the last sequence.
Bạn có nghĩ là bạn làm việc với chúng tôi được không?,Do you think you'd like to work for them?
给时光以生命，而不是给生命以时光。,Take each day seriously.
کاش میں ابھی بوسٹن میں ہوتا۔,I wish I never had to go back to Boston again.
